,Name,Notes,Quote,Quality,Type,DPS,Magazine Size,Ammo Capacity,Damage,"Fire
Rate",Reload Time,Shot Speed,Range,Force,Spread,"Collapse
Class",
./img/menu_weapons/Black Hole Gun,Black Hole Gun,Fires black holes that attract enemies and enemy bullets.,Won't You Come,A,Charged,29.6,1,30,10,1.00,1.56,4,"1,000",9,0,SILLY,
./img/menu_weapons/Serious Cannon,Serious Cannon,Fires large bouncing cannonballs.,Seriously MENTAL,A,Charged,17.0,1,30,50,0.60,1.5,35,"1,000",60,6,SILLY,
./img/menu_weapons/Prototype Railgun,Prototype Railgun,Fires a fast-moving piercing bullet.,DANGER: HIGH VOLTAGE,A,Charged,51.0,1,40,150,N/A,0.6,800,"1,000",0,0,CHARGE,
./img/menu_weapons/Deck4rd,Deck4rd,Fires a single powerful bullet that will explode upon impact.,Unicorn Of Handguns,A,Semiautomatic,47.1,2,40,5 (impact) + 35 (explosion),0.20,1.5,20,"1,000",22,10,EXPLOSIVE,
./img/menu_weapons/A.W.P.,A.W.P.,Fires bullets that can pierce through one enemy.,Noob Cannon,A,Semiautomatic,30.5,8,50,40,1.20,2.1,100,"1,000",25,5,RIFLE,
./img/menu_weapons/The Exotic,The Exotic,"Fires rockets which burst into more homing rockets. While held, grants a ghost companion that follows the player and reveals the contents of nearby chests.",Pack of Wolves,A,Semiautomatic,44.5,1,50,"25 (impact)
+ 15 (explosion)
+ 35
(7 * 5 mini rockets)",2.0,1.5,"10 (Rocket)
25 (Small rocket)","60 (Rocket)
10 (Small rocket)",?,1,EXPLOSIVE,
./img/menu_weapons/RC Rocket,RC Rocket,Fires rockets guided by the player's cursor.,Avoid User Error,A,Semiautomatic,86.7,1,50,100 (impact) + 30 (explosion),0.60,1.5,10,200,10,1,EXPLOSIVE,
./img/menu_weapons/Compressed Air Tank,Compressed Air Tank,"Fires sharks that swim around the room, seeking enemies and biting them.",You Know My Work,A,Charged,125.0,1,50,50,0.60,1.2,35,,60,6,SILLY,
./img/menu_weapons/Gunbow,Gunbow,"Fires a fast, piercing projectile that ricochets many times.",Failed Experiment,A,Charged,12.4-55.7,1,60,35,0.001,1.0,26,"1,000",25,0,CHARGE,
./img/menu_weapons/Cobalt Hammer,Cobalt Hammer,Fires blue lasers. Charging the weapon makes it fire lasers in four directions.,Break Stuff,A,Charged,57.8,6,60,"Uncharged: 26
Charged: 36",0.30,1.2,100,"1,000",80,0,CHARGE,
./img/menu_weapons/Big Shotgun,Big Shotgun,"Fires three exploding shots that burst into bullets. Reloading next to Shotgun Kin sucks them up, killing them and restoring 1 ammo.",A Shotgun That's Big,A,Semiautomatic,63.1,4,70,"Large: 45 (15x3)
Small: 5.5",0.6,2.1,?,"1,000",?,?,EXPLOSIVE,
./img/menu_weapons/Bullet Bore,Bullet Bore,"Fires drills that home in on enemies, stun them, and explode after a short delay.",Mind Muncher,A,Semiautomatic,23.3,1,75,10 (impact) + 25 (explosion),1.00,1.5,20,"1,000",8,5,EXPLOSIVE,
./img/menu_weapons/Crescent Crossbow,Crescent Crossbow,Fires stars that split into smaller bouncing stars.,Moon Shot,A,Charged,19.5,12,100,"Large: 22
Medium: 8
Small: 3",0.20,1.5,32,"1,000",20,0,CHARM,
./img/menu_weapons/Starpew,Starpew,Fires water droplets. Can be charged to increase the number of droplets fired.,Reap And Sow,A,Charged,35-93.3,1,100,5,0.20,1.0,?,?,?,?,CHARGE,
./img/menu_weapons/Shotgun Full of Love,Shotgun Full of Love,Has a chance to Charm enemies.,Kill With Kindness,A,Semiautomatic,51.1,8,120,30 (5x6),0.45,1.2,23,60,30,14,CHARM,
./img/menu_weapons/Glacier,Glacier,Fires bouncing ice cubes that explode and freeze enemies.,Refill Your Trays,A,Automatic,24.0,12,120,8 (impact) + 6 (explosion),0.50,1.5,18,35,8,5,ICE,
./img/menu_weapons/Old Goldie,Old Goldie,Increases coolness by 1.,For The Discerning,A,Semiautomatic,88.1,4,150,35 (3.5x10),0.50,1.2,23,10,30,5,SHOTGUN,
./img/menu_weapons/Shotgun Full of Hate,Shotgun Full of Hate,"Shoots a shotgun burst of skulls, nails, regular bullets, and poison bullets that leave pools of poison goop.",Hate Is Power!,A,Semiautomatic,54.5,8,150,6x4 (bullets) + 5 (skull) + 3 (nail),0.45,1.2,23,60,30,14,SHOTGUN,
./img/menu_weapons/Laser Lotus,Laser Lotus,Fires piercing lasers.,Level 5,A,Semiautomatic,50.3,10,150,16,0.20,1.38,45,"1,000",26,5,RIFLE,
./img/menu_weapons/Knight's Gun,Knight's Gun,Fires five bullets in an arrow shape. Gains some pickups when reloading an empty clip.,Plowshare,A,Semiautomatic,64.9,6,180,40 (8x5),0.4,1.7,23,10,20,?,SILLY,
./img/menu_weapons/Snakemaker,Snakemaker,Has a chance to transmogrify enemies into snakes.,SSSSSSSSSSS,A,Semiautomatic,34.8,10,200,12,0.25,1.2,50,"1,000",10,0,SILLY,
./img/menu_weapons/Staff of Firepower,Staff of Firepower,Reloading alternates between a rapid fire pistol and a beam weapon that can set enemies on fire.,Missing Link,A,Semiautomatic,"Gun: 24
Staff: 54.3
Both: 42.3","Gun: 6
Staff: 12",200,"Gun: 7
Staff: 12",0.15,1.0,25,"1,000",12,7,SILLY,
./img/menu_weapons/Zilla Shotgun,Zilla Shotgun,"Can be charged to fire the entire magazine at once, which will cause it to fire piercing, bouncing bullets.",Quadruple the fun!,A,Charged,42.7,4,240,"Uncharged:
32 (4x8)
Charged:
42 (6x7)",0.50,1.5,26,"1,000",26,20,SHOTGUN,
./img/menu_weapons/Zorgun,Zorgun,"Rapidly fires homing bullets. The final bullet in each clip fires a random explosive (grenade, rocket, or drill).",Don't Push The Red Button,A,Automatic,57.5,30,300,5.5,0.10,0.6,23,"1,000",9,5,FULLAUTO,
./img/menu_weapons/RUBE-ADYNE MK.II,RUBE-ADYNE MK.II,Fires bouncing lasers with limited range.,Polished Product,A,Semiautomatic,63.8,15,300,8,0.10,0.48,40,35,10,7,PISTOL,
./img/menu_weapons/Thunderclap,Thunderclap,Fires balls of lightning.,Lightning In A Bullet,A,Semiautomatic,38.7,15,300,8,0.15,1.7,20,"1,000",10,5,RIFLE,
./img/menu_weapons/The Emperor,The Emperor,Fires a burst of four bullets connected by electricity.,Electric Terror,A,Burst,37.5,30,300,7,0.30,1.2,20,50,10,7,FULLAUTO,
./img/menu_weapons/Super Meat Gun,Super Meat Gun,"Fires piercing, bouncing saw blades. Slightly increases movement speed.",Very Fast,A,Semiautomatic,45.0,12,300,6,0.10,0.5,25,"1,000",10,5,SILLY,
./img/menu_weapons/Trident,Trident,Fires a long-range laser that pierces one enemy. Destroys nearby bullets and pushes enemies away while reloading.,Under The Sea,A,Semiautomatic,46.5,6,300,8,0.08,1.0,600,"1,000",4,0,SILLY,
./img/menu_weapons/3rd Party Controller,3rd Party Controller,"Upon hitting an enemy, they will move in the same direction the player moves, and shoot towards the crosshair if the player shoots.",Assuming Direct Control,A,Semiautomatic,4.7,10,300,2.5,0.4,1.75,30,"1,000",13,10,CHARM,
./img/menu_weapons/Cat Claw,Cat Claw,Fires darts that home in on enemies and explode after a short delay. The darts deal minimal damage on contact.,Kneadle Your Foes!,A,Automatic,65.5,33,400,2 (impact) + 10 (explosion),0.15,1.2,23,"1,000",2,5,FULLAUTO,
./img/menu_weapons/M16,M16,Reloading alternates between bursts of 3 bullets and a grenade launcher.,Underslung,A,Burst,35.6,"30 (machine gun)
3 (grenade launcher)",500,"Gun: 5.5
Grenade: 10 (impact) + 25 (explosion)",0.10,1.2,23,"1,000",11,7,FULLAUTO,
./img/menu_weapons/Unicorn Horn,Unicorn Horn,Fires a rainbow beam that homes in on enemies. Increases curse by 1.,Fires Friendship,A,Beam,30.0,500,500,30/s,0.10,N/A,30,30,45,0,BEAM,
./img/menu_weapons/Machine Fist,Machine Fist,"Reloading alternates between firing a gatling gun, and a single shot exploding rocket punch that is guided by the player's reticle. The rocket punch consumes 10 ammo upon firing.",Avalanche Of Bullets,A,Automatic,46.0,"50 (gun)
1 (rocket)",500,"Bullet: 4
Rocket: 20 (impact) + 30 (explosion)",0.07,1.0,27,"1,000",15,6,FULLAUTO,
./img/menu_weapons/Freeze Ray,Freeze Ray,Fires a blue laser that has a chance to freeze enemies.,Ice To Meet You,A,Beam,20.0,500,500,20/s,0.10,N/A,60,30,10,0,ICE,
./img/menu_weapons/Raiden Coil,Raiden Coil,Fires a laser that homes in on all on-screen enemies.,Shoot Em' Up,A,Beam,17.5,500,500,17.5/s,0.10,N/A,,30,10,5,SILLY,
./img/menu_weapons/Abyssal Tentacle,Abyssal Tentacle,"Fires a tentacle that homes in on and grips enemies, damaging them.",Look Away,A,Beam,22.5,500,500,22.5/s,0.10,N/A,"1,000",30,10,0,SILLY,
./img/menu_weapons/Dragunfire,Dragunfire,Rapidly fires burning bullets that have a chance to inflict Burn.,Roar,A,Automatic,42.4,30,600,5,0.05,1.6,25,"1,000",27,7,FULLAUTO,
./img/menu_weapons/Robot's Left Hand,Robot's Left Hand,Rapidly fires blue lasers.,See You Later,A,Automatic,40.0,60,600,5,0.10,1.6,?,?,?,?,FULLAUTO,
./img/menu_weapons/Life Orb,Life Orb,"After killing an enemy, reloading damages all enemies in the room.",Your Soul is Mine,A,Beam,20,600,600,20/s,0.10,N/A,?,?,?,?,BEAM,
./img/menu_weapons/High Kaliber,High Kaliber,Causes enemy souls to leave their bodies. Touching a soul deals high damage to the enemy. Each shot costs 6 ammo.,Soul Reaver,A,Semiautomatic,33.0,66,666,15,0.50,1.0,22,25,13,8,PISTOL,
./img/menu_weapons/Gunderfury,Gunderfury,"Gains persist experience and levels up with kills, changing its appearance and stats.",Gun of Guncraft,A,Automatic,25.5-181.2,8-50,200-500,3.4-20x2,Varies,Varies,Varies,Varies,Varies,Varies,FULLAUTO,
./img/menu_weapons/Microtransaction Gun,Microtransaction Gun,"Shoots various figurines, books, and gems at the cost of 1 coin per shot.",Pay To Win,A,Semiautomatic,44.4,Equal to Shells held,Equal to Shells held,2/8/15/20,0.20,N/A,?,?,?,?,PISTOL,
./img/menu_weapons/Hyper Light Blaster,Hyper Light Blaster,"Has very low ammo, but regenerates 1 ammo if a shot hits an enemy.",Skill Honed Sharp,B,Semiautomatic,85.1,12,12,20,0.15,1.5,26,20,6,?,PISTOL,
./img/menu_weapons/RPG,RPG,Fires grenades.,Leveled Up,B,Semiautomatic,18.3,1,40,20 (impact) + 35 (explosion),1.00,3.0,40,90,10,5,EXPLOSIVE,
./img/menu_weapons/Com4nd0,Com4nd0,Fires homing rockets.,You're Fired,B,Semiautomatic,54.6,4,40,20 (impact) + 25 (explosion),0.60,1.5,14,90,10,5,EXPLOSIVE,
./img/menu_weapons/Stinger,Stinger,Fires homing rockets that explode into bees.,Drone Warfare,B,Semiautomatic,27.5,1,50,10 (impact) + 15 (explosion),1.00,2.0,20,60,10,1,EXPLOSIVE,
./img/menu_weapons/Grenade Launcher,Grenade Launcher,Shoots a grenade that bounces off of surfaces and explodes on impact with enemies.,Fwomp!,B,Semiautomatic,29.2,1,60,10 (impact) + 25 (explosion),1.20,0.78,20,20,20,4,EXPLOSIVE,
./img/menu_weapons/Charge Shot,Charge Shot,Fires a large laser that pierces enemies and bounces off of walls two times. Laser deals higher damage after bouncing.,Hold To Fire,B,Charged,24.4,5,75,30,0.01,1.0,26,"1,000",25,5,CHARGE,
./img/menu_weapons/Hexagun,Hexagun,Fires piercing bullets that have a chance to transmogrify enemies.,Light Fantastic,B,Semiautomatic,28.0,1,75,35,0.001,1.02,200,"1,000",25,0,RIFLE,
./img/menu_weapons/Blooper,Blooper,Fires shotgun blasts of blue bullets with high knockback.,Close Your Bloop,B,Semiautomatic,58.3,5,80,42 (7x6),0.65,2.0,23,10,30,0,SHOTGUN,
./img/menu_weapons/Shotbow,Shotbow,Fires a shotgun blast of bolts.,A Teleporter Accident,B,Semiautomatic,30.9,3,80,36 (6x6),1.00,1.5,26,"1,000",25,5,SHOTGUN,
./img/menu_weapons/Grey Mauser,Grey Mauser,Reloading an empty clip makes the player invisible. Can be used to steal from shops.,Silent And Deadly,B,Semiautomatic,43.3,10,100,8,0.10,1.5,32,"1,000",9,8,PISTOL,
./img/menu_weapons/Mr. Accretion Jr.,Mr. Accretion Jr.,Fires planets which start orbiting the player if they hit a wall or obstacle.,Music of the Spheres,B,Semiautomatic,21.9,20,100,Varies,0.7,2.0,19,"1,000",?,0,SILLY,
./img/menu_weapons/Magic Lamp,Magic Lamp,Hitting an enemy three times causes a genie to punch them.,"One Wish, Three Times",B,Semiautomatic,63.2,3,100,"8 (shots)
115 (genie)",0.50,1.2,12,"1,000",10,5,SILLY,
./img/menu_weapons/Kruller Glaive,Kruller Glaive,"Throws a boomerang-like projectile that homes in on multiple enemies, damaging and sometimes stunning them.",Studied the Blade,B,Charged,20.8,1,100,25,0.2,1.0,?,?,10,?,NONE,
./img/menu_weapons/Void Shotgun,Void Shotgun,Fires 6 purple bullets with high knockback.,CQC,B,Semiautomatic,50.0,4,120,30 (5x6),0.40,1.2,23,10,30,0,SHOTGUN,
./img/menu_weapons/Void Core Cannon,Void Core Cannon,"Fires bursts of four large energy balls, which home in on enemies and explode upon impact.",Critical Strike,B,Burst,34.8,4,120,"10 (Impact)
10 (Explosion)",0.20,2.0,40,90,10,8,EXPLOSIVE,
./img/menu_weapons/Directional Pad,Directional Pad,"Fires bullets in four directions. Combos can be entered to fire fireballs or a grappling hook. After running out of ammo, it is destroyed but spawns a chest.",Input Output,B,Burst,20.7,30,120,"8 (normal)
45 (fireball)
10 (grappling hook)",1.0,1.6,?,?,?,?,PISTOL,
./img/menu_weapons/Frost Giant,Frost Giant,Fires big bullets that have a chance to freeze.,Icy Grasp,B,Semiautomatic,80.0,12,130,12,0.001,1.6,20,30,10,12,ICE,
./img/menu_weapons/Magnum,Magnum,,5 Shots Or 6?,B,Semiautomatic,44.6,6,140,13,0.15,1.0,23,60,30,7,PISTOL,
./img/menu_weapons/Shell,Shell,"Fires three shotguns, each of which fires three bullets upon hitting something.",Fires Shotguns,B,Semiautomatic,36.9,6,150,"Shotguns: 3x8
Bullets: 2x4",0.5,1.4,?,?,?,?,SHOTGUN,
./img/menu_weapons/Big Iron,Big Iron,Fires a random spread of three bullets.,Heavy,B,Semiautomatic,42.0,6,150,21 (7x3),0.33,1.2,16,16,10,4,PISTOL,
./img/menu_weapons/Charmed Bow,Charmed Bow,Charms enemies when fully charged.,<3-----<<<,B,Charged,37.5/20.0,1,150,"Uncharged: 7.5
Charged: 14",0.2-0.7,0.0,"Uncharged: 25
Charged: 45","1,000",8,?,CHARM,
./img/menu_weapons/The Predator,The Predator,Locks onto enemies and fires high speed homing lasers. Invisibility while reloading an empty magazine.,High-tech $#!*,B,Semiautomatic,29.4,8,150,25,0.80,1.2,72,32,10,5,PISTOL,
./img/menu_weapons/Sunlight Javelin,Sunlight Javelin,Shoots fiery javelins that make enemies take damage over time.,Brilliant Aura,B,Charged,30.0,100,150,45,1.00,0.0,120,"1,000",90,0,FIRE,
./img/menu_weapons/Light Gun,Light Gun,"Fires zaps of light at enemies. The last bullet in the magazine is a duck, which will automatically seek out the nearest enemy and attack them.",Third-Party,B,Semiautomatic,28.8,6,150,7,0.20,1.0,400,60,30,5,SILLY,
./img/menu_weapons/SAA,SAA,Fires bouncing bullets that aim towards enemies after bouncing.,Exhilarating Reload Time,B,Semiautomatic,43.6,6,200,"Direct: 8
Bounce: 12",0.12,0.6,25,"1,000",14,0,PISTOL,
./img/menu_weapons/Jolter,Jolter,Fires large and rectangular bullets with high knockback.,.95 Caliber,B,Semiautomatic,39.5,12,200,13,0.25,1.2,25,25,50,10,PISTOL,
./img/menu_weapons/GuNNER,GuNNER,Taking damage while GuNNER is held drains 40 ammo and drops a skull that heals the player upon pickup.,Backpack Not Included,B,Semiautomatic,27.5,12,200,13.5,0.4,1.5,27,"1,000",9,0,RIFLE,
./img/menu_weapons/Rattler,Rattler,Simultaneously fires a shotgun blast and a beam that has a chance to poison enemies.,Snakes On A Gun,B,Semiautomatic,35.6,8,200,21 (3x7),0.20,1.2,23,20,30,0,POISON,
./img/menu_weapons/Mass Shotgun,Mass Shotgun,Shoots a large slow projectile that will split up in a barrage of small bullets shortly afterwards.,My Favorite Gun,B,Semiautomatic,20.0/60.0,1,200,"Ball: 30
Split: 72 (6x12)",0.40,1.2,23,60,30,0,SHOTGUN,
./img/menu_weapons/Ice Breaker,Ice Breaker,"The first two shots fire a shotgun blast of ice bullets, and the final shot fires a single explosive shot.",Never Let Go,B,Semiautomatic,32.4,3,200,"Ice: 10 (2x5)
Explosive: 35",0.40,0.9,23,10,30,0,ICE,
./img/menu_weapons/RUBE-ADYNE Prototype,RUBE-ADYNE Prototype,Fires lasers that bounce four times.,It Never Quits,B,Semiautomatic,35.0,6,200,7,0.12,0.6,40,60,10,5,PISTOL,
./img/menu_weapons/Megahand,Megahand,Has 2 levels of damage depending on how long the gun has been charged.,-P-,B,Charged,62.4,18,200,"Uncharged: 6
Charged: 45",0.07,0.54,20,"1,000",8,0,CHARGE,
./img/menu_weapons/Heroine,Heroine,Has 3 levels of damage depending on how long the gun has been charged.,Charge Beam Active,B,Charged,47.2,6,200,"Level 1: 5
Level 2: 10
Level 3: 70",0.07,0.54,25,"1,000",10,0,CHARGE,
./img/menu_weapons/Flame Hand,Flame Hand,Fires fireballs that pierce enemies and have a chance to set enemies on fire.,2D6 + Int Mod,B,Semiautomatic,23.6,100,200,Varying (~11.7),0.50,0.0,23,"1,000",35,0,FIRE,
./img/menu_weapons/Vorpal Gun,Vorpal Gun,Has a chance to fire a critical shot which deals 20 times its damage.,.50 Criticaliber,B,Semiautomatic,23.8,6,250,"Normal Shot: 5
Critical Shot: 100",0.10,0.90,?,"1,000",9,8,PISTOL,
./img/menu_weapons/Smiley's Revolver,Smiley's Revolver,"Decreases shop prices while held.
Fire rate increased shortly after rolling.",All Smiles,B,Semiautomatic,43.2,6,250,9,0.10,0.7,23,60,30,6,PISTOL,
./img/menu_weapons/VertebraeK-47,VertebraeK-47,"Bullets close to each other will form links between each other, which hurts enemies on touch.",Nervous Yet?,B,Automatic,27.3,30,250,"4 (bullet)
2 (chain)",0.10,1.5,18,"1,000",6,5,FULLAUTO,
./img/menu_weapons/Void Marshal,Void Marshal,,Acquired Under The Table,B,Semiautomatic,51.9,15,250,9,0.10,1.2,35,35,10,7,PISTOL,
./img/menu_weapons/Mine Cutter,Mine Cutter,"Reloading alternates between firing three small, piercing, parallel lasers and single large lasers.",Safety First,B,Semiautomatic,45.0,12,250,"Triple: 10
Single: 8",0.10,1.2,23,60,30,7,PISTOL,
./img/menu_weapons/Hegemony Rifle,Hegemony Rifle,Rapidly fires inaccurate white lasers.,So Precise,B,Semiautomatic,31.9,15,250,10,0.25,1.2,35,15,15,13,RIFLE,
./img/menu_weapons/Rad Gun,Rad Gun,"Increases coolness by 2. When reloading, if the reload button is hit at the right time, the gun's damage is increased. Failing a reload resets the damage.",Totally Rad,B,Semiautomatic,24.6,12,250,4,0.15,≥0.9,?,?,?,?,SILLY,
./img/menu_weapons/Shock Rifle,Shock Rifle,Fires a zap of electricity.,Zap,B,Semiautomatic,27.9,15,250,8,0.20,1.5,140,"1,000",20,5,RIFLE,
./img/menu_weapons/Excaliber,Excaliber,"Fires a burst of three piercing sword projectiles. Reloading swings the sword, destroying nearby bullets and damaging nearby enemies. Increases curse by 2.5.",Once And Future,B,Burst,43.7,32,280,7,0.15,0.48,26,"1,000",15,0,FULLAUTO,
./img/menu_weapons/Shellegun,Shellegun,Reloading alternates between a pistol and a continuous beam. Increases curse by 1.,Circle Of Death,B,Semiautomatic,33.1/13.3,"12 (pistol)
20 (beam)",300,8,0.10,1.08,25,30,22,5,PISTOL,
./img/menu_weapons/AC-15,AC-15,Becomes more powerful if the player has armor.,Metalled Gear,B,Automatic,25.8/27.9,40,300,"Unarmored: 3.8
Armored: 15","Unarmored: 0.125
Armored: 0.5",1.8,"30 (Unarmored)
50 (Armored)","1,000 (Unarmored)
25 (Armored)","8 (Unarmored)
50 (Armored)","10 (Unarmored)
1 (Armored)",SILLY,
./img/menu_weapons/Void Core Assault Rifle,Void Core Assault Rifle,Fires bursts of three lasers.,Rapid Fire,B,Burst,27.8,30,300,6.5,0.35,1.2,23,20,15,3,FULLAUTO,
./img/menu_weapons/Eye of the Beholster,Eye of the Beholster,The last shot of each clip spawns a friendly Beadie.,What A Beauty!,B,Semiautomatic,23.2,12,300,6,0.15,1.2,200,"1,000",4,4,SILLY,
./img/menu_weapons/Bee Hive,Bee Hive,Fires bees that home in on and damage enemies.,Bzzzzzzz!,B,Automatic,29.9,150,300,3,0.10,0.06,9,,2,90,SILLY,
./img/menu_weapons/Tetrominator,Tetrominator,"Fires random tetrominoes that stick to enemies. Line pieces explode, dealing more damage the more tetrominoes are stuck to an enemy.",LINE PIECE!,B,Semiautomatic,24.8,13,301,"4
6 (line piece)",0.3,1.5,16,30,6,0,SILLY,
./img/menu_weapons/Cold 45,Cold 45,Fires bullets that freeze enemies.,Shatterday Night Special,B,Semiautomatic,25.3,12,350,6,0.15,1.2,28,35,10,6,ICE,
./img/menu_weapons/Betrayer's Shield,Betrayer's Shield,"Upon reloading, leaves a protective shield on the ground. Players in that area will be protected until the shield has absorbed a number of bullets.",Actually A Gun,B,Automatic,32.3,12,350,7,0.10,1.5,23,18,12,5,PISTOL,
./img/menu_weapons/The Judge,The Judge,"The final shot of each clip has a chance to poison, freeze or ignite enemies. (likely more effects possible)",Hot Shot,B,Semiautomatic,32.5,9,400,7.5,0.15,1.0,30,"1,000",9,7,PISTOL,
./img/menu_weapons/Polaris,Polaris,"Has 3 levels. Killing enough enemies causes the gun to level up, increasing its damage. Taking damage decreases its level by 1.",Storied,B,Semiautomatic,17.9-71.6,12,450,"Level 1: 5
Level 2: 12 (6x2)
Level 3: 20",0.25,0.6,40,"1,000",30,5,PISTOL,
./img/menu_weapons/H4mmer,H4mmer,"Fires a barrage of bullets. The last shot in the magazine is a hammer, which deals extra damage and can stun enemies.",Many Bullets,B,Automatic,63.5,30,450,"Bullets: 3.8
Hammer: 20",0.05,0.6,23,"1,000",6,7,FULLAUTO,
./img/menu_weapons/AK-47,AK-47,,Accept No Substitutes,B,Automatic,44.7,30,500,5.5,0.11,0.6,23,"1,000",9,4,FULLAUTO,
./img/menu_weapons/Combined Rifle,Combined Rifle,"Reloading alternates between a rapid-fire rifle and a bouncing, piercing energy ball.",Halve Lives,B,Automatic,36.6,"30 (gun)
1 (ball)",500,"5 (gun)
100 (ball)",0.12,1.0,"23 (Rifle)
19 (Energy Ball)","50 (Rifle)
150 (Energy Ball)","9 (Rifle)
2.5 (Energy Ball)","7 (Rifle)
0 (Energy Ball)",FULLAUTO,
